competition_id,season_id(s),club_id,club_name,youth_team_id,youth_team_name
FR1,2016,1159,AS Nancy-Lorraine,10841,AS Nancy-Lorraine U19
GB1,"2021,2019,2015",1123,Norwich City,33614,Norwich City U21
FR1,"2018,2017,2016,2015,2014",1162,SM Caen,12770,SM Caen B
GB1,2023,1031,Luton Town,14619,Luton Town U18
IT1,2014,1429,AC Cesena,,
IT1,"2022,2021,2020",3522,Spezia Calcio,14893,Spezia Primavera
L1,"2019,2014",127,SC Paderborn 07,6604,SC Paderborn 07 II
FR1,2015,3558,GFC Ajaccio,3558,GFC Ajaccio
GB1,"2016,2014",3008,Hull City,19715,Hull City U21
GB1,2016,641,Middlesbrough FC,9256,Middlesbrough FC U21
GB1,2018,603,Cardiff City,29793,Cardiff City U21
GB1,"2016,2015,2014",289,Sunderland AFC,9264,Sunderland AFC U21
FR1,2014,14171,FC Évian Thonon Gaillard,,
ES1,2014,993,Córdoba CF,12834,Córdoba CF B
GB1,2014,1039,Queens Park Rangers,12805,Queens Park Rangers U18
IT1,2021,607,Venezia FC,17257,Venezia Primavera
IT1,2022,2239,US Cremonese,17198,Cremonese Primavera
